"","Dim.1","Dim.2","Dim.3"
"1",-0.945660461295519,-0.780233783675659,-0.33921079673823
"2",0.272446474204088,-0.306523486249309,-0.17170525998938
"3",-0.797773176527087,-0.898722799959496,-0.107548911536674
"4",-0.372734991535993,-0.348900612143711,-0.479216203463767
"5",0.476637653703774,-0.113031485927475,-0.395010797540365
"6",-0.231397631705344,-0.844579905243295,0.181683835223997
"7",0.426243539611359,-0.299329407021788,-0.144849624225711
"8",-0.593839862123595,-0.801941234236018,-0.110990345619207
"9",0.19492447737065,-0.479620516056262,-0.140464795801474
"10",1.05308992598019,0.277864250549426,-0.513237723102096
"11",-0.162343114883154,-0.485853512482705,-0.227751290764468
"12",1.30674543243781,-0.213926861604222,0.23010044365177
"13",-0.088301364944688,-0.212130219614668,-0.45643395615564
"14",0.108468079000672,-0.581720550238639,0.072730463384882
"15",-0.164700754732882,-0.675184293162677,0.00865849260354888
"16",1.38251969557053,0.0199591170188488,-0.421167221461943
"17",1.48585428180588,0.0620534513418133,0.0630699446206568
"18",-0.353715228859996,-0.734072853368901,-0.0580932476630337
"19",0.343311441292084,-0.112371134406563,-0.529566046946242
"20",-0.253267360519769,-0.766425765615468,0.0551919474818483
"21",-0.0759478321375268,-0.697088770575625,0.049116820494619
"22",-0.117044380407122,-0.336256751138179,-0.394609889475304
"23",-0.215413673771619,-0.338754809239053,-0.398052520223928
"24",1.52335762136597,0.0596271900038478,0.0140204562409926
"25",0.185107675556975,-0.0972557718158743,-0.380130957145222
"26",0.688059981644035,-0.46229833437824,0.22710759004486
"27",-0.239903911982031,-0.728708477282167,0.0715387486483781
"28",0.181647094603901,-0.7023596586056,0.248649820429555
"29",0.864448183358579,-0.277439104541725,-0.00688749396407743
"30",0.730982211933771,0.0322877397757835,-0.824718964927818
"31",0.452274087568147,-0.715976755831039,0.41837939203573
"32",0.429417192944532,-0.359557699149681,-0.0857712372894906
"33",-0.736871124468181,-0.870237824996893,-0.0252814283223874
"34",-0.57534102600114,-0.664502034508897,-0.182509629094519
"35",0.48675690078377,-0.505151395556764,0.194425307457248
"36",-0.430508537955341,-0.749467310614999,-0.0739562615639386
