"","Genotype","Type","Ploidy","Species","CCC_Group","Average_Tuber_Weight_(g)","Number_of_Tubers_per_plant","Total_Tuber_Yield_(kg_per_plant)","clust"
"526","BGVCOL_15062153","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",11.3,16.392735042735,0.812393162393163,"4"
"527","BGVCOL_15061742","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",11.6666666666667,13.8430555555556,0.679722222222222,"4"
"528","BGVCOL_15061744","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",8.3,9.30357142857143,0.513988095238095,"2"
"529","BGVCOL_15061965","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",9.66666666666667,10.6720238095238,0.582619047619048,"2"
"530","BGVCOL_15061747","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",9.66666666666667,16.7369047619048,0.820238095238095,"4"
"531","BGVCOL_15061751","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",7.1,7.13240740740741,0.3925,"2"
"532","BGVCOL_15061752","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",7.93333333333333,12.1388888888889,0.53125,"2"
"533","BGVCOL_15061753","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",12.4,18.625,0.998333333333334,"4"
"534","BGVCOL_15061754","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",13.9333333333333,12.8421568627451,0.80203431372549,"4"
"535","BGVCOL_15061755","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",11.8,16.3333333333333,0.709166666666667,"4"
"536","BGVCOL_15061756","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",14.6666666666667,20.0565527065527,0.894188034188034,"4"
"537","BGVCOL_15061757","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",12.0333333333333,18.8666666666667,0.802777777777778,"4"
"538","BGVCOL_15061758","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",6.2,8.48333333333333,0.389702380952381,"2"
"539","BGVCOL_15061759","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",5.43333333333333,7.81593137254902,0.298725490196078,"2"
"540","BGVCOL_15061760","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",9.6,10.1651515151515,0.612121212121212,"2"
"541","BGVCOL_15061761","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",8.33333333333333,8.66666666666667,0.476666666666667,"2"
"542","BGVCOL_15061762","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",11.0166666666667,13.2444444444445,0.740208333333333,"4"
"543","BGVCOL_15061763","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",15.6,13.8958333333333,0.870231481481481,"4"
"544","BGVCOL_15061764","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",18.1666666666667,14.425,1.0302850877193,"4"
"545","BGVCOL_15061765","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",16.4333333333333,14.9555555555556,0.995138888888889,"4"
"546","BGVCOL_15061766","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",12.6,19.5,0.75,"4"
"547","BGVCOL_15061768","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",6.16666666666667,11.2928571428571,0.364702380952381,"2"
"548","BGVCOL_15061769","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",7.4,13.0722222222222,0.47375,"2"
"549","BGVCOL_15061771","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",9.06666666666667,14.2833333333333,0.536944444444444,"4"
"550","BGVCOL_15061772","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",5.2,21.3383838383838,0.396380471380471,"4"
"551","BGVCOL_15061773","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",5.7,7.87777777777778,0.344444444444444,"2"
"552","BGVCOL_15061966","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",5.63333333333333,11.6166666666667,0.468333333333333,"2"
"553","BGVCOL_15061776","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",7.1,20.9161375661376,0.401164021164021,"4"
"554","BGVCOL_15061777","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",10.3333333333333,16.0416666666667,0.701805555555556,"4"
"555","BGVCOL_15061778","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",13.5666666666667,14.0111111111111,0.846944444444444,"4"
"556","BGVCOL_15061784","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",12.15,11.0892857142857,0.790714285714286,"4"
"557","BGVCOL_15061785","Type_Campo","Ploidy_Unknown","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",19.9333333333333,16.3833333333333,1.36416666666667,"5"
"558","BGVCOL_15062359","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",13.0333333333333,12.4944444444445,1.03722222222222,"4"
"559","BGVCOL_15062370","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",13.5333333333333,10.0916666666667,0.78375,"4"
"560","BGVCOL_15061788","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",17.7,15.9646464646465,1.3899494949495,"5"
"561","BGVCOL_15061967","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",12.8333333333333,12.2532051282051,0.755320512820513,"4"
"562","BGVCOL_15061789","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",1.36666666666667,3.26111111111111,0.0777777777777778,"2"
"563","BGVCOL_15061790","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",13.6666666666667,11.1777777777778,0.926507936507937,"4"
"564","BGVCOL_15061792","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",4.1,11.3680555555556,0.237638888888889,"2"
"565","BGVCOL_15061968","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",11.2666666666667,15.1388888888889,0.694166666666667,"4"
"566","BGVCOL_15061795","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",13.9,13.5,0.929166666666667,"4"
"567","BGVCOL_15061797","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",6.85,13.2388888888889,0.486666666666667,"2"
"568","BGVCOL_15061798","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",6.06666666666667,10.1666666666667,0.53,"2"
"569","BGVCOL_15061799","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",9.43333333333333,13.4113095238095,0.56452380952381,"4"
"570","BGVCOL_15061800","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",7.26666666666667,8.8,0.45625,"2"
"571","BGVCOL_15062360","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",15.5333333333333,15.9869047619048,1.01964285714286,"4"
"572","BGVCOL_15062361","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",14.95,15.7107142857143,0.902321428571429,"4"
"573","BGVCOL_15061801","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",8.21666666666667,8.00795454545455,0.50844696969697,"2"
"574","BGVCOL_15062371","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",7.06666666666667,6.725,0.406666666666667,"2"
"575","BGVCOL_15061969","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",6.63333333333333,5.77083333333333,0.390694444444445,"2"
"576","BGVCOL_15061808","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",10.1833333333333,7.84285714285714,0.639970238095238,"2"
